ChCode,  Amount OB  ,  Principal Amount Due  
01PAFL2607-164," 936,049.11 "," 32,374.55 "
01PAFL2607-165," 330,385.58 ", 40.48 
01PAFL2607-166," 1,866,369.60 "," 58,709.96 "
01PAFL2607-167," 825,642.77 "," 14,860.98 "
01PAFL2607-168," 353,372.73 "," 2,620.91 "
01PAFL2607-169," 1,602,408.49 "," 44,495.68 "
01PAFL2607-17," 292,427.32 "," 16,276.32 "
01PAFL2607-170," 1,448,962.91 "," 68,406.03 "
01PAFL2607-171," 1,105,685.53 "," 37,733.39 "
01PAFL2607-172," 909,263.81 "," 30,865.03 "
01PAFL2607-173," 390,476.31 "," 4,035.61 "
01PAFL2607-174," 3,440,324.81 "," 23,554.33 "
01PAFL2607-175," 950,265.92 "," 36,022.35 "
01PAFL2607-176," 1,115,331.87 "," 7,666.04 "
01PAFL2607-177," 976,002.37 "," 40,122.96 "
01PAFL2607-178," 186,842.95 "," 9,072.06 "
01PAFL2607-179," 1,237,055.34 "," 44,443.06 "
01PAFL2607-18," 1,946,058.58 "," 65,700.53 "
01PAFL2607-180," 172,604.06 "," 6,074.09 "
01PAFL2607-181," 143,291.93 "," 4,996.72 "
01PAFL2607-182," 82,955.74 "," 3,810.00 "
01PAFL2607-183," 1,853,686.78 "," 58,388.15 "
01PAFL2607-184," 419,253.13 "," 57,730.41 "
01PAFL2607-185," 995,317.50 "," 44,206.63 "
01PAFL2607-186," 942,450.97 ", 33.70 
01PAFL2607-187," 208,729.08 "," 8,768.45 "
01PAFL2607-188," 426,185.72 "," 9,400.23 "
01PAFL2607-189," 961,259.92 "," 26,148.38 "
01PAFL2607-19," 995,684.35 "," 37,399.46 "
01PAFL2607-190," 859,604.57 "," 41,913.65 "
01PAFL2607-191," 823,893.45 "," 28,428.30 "
01PAFL2607-192," 748,044.99 "," 49,086.57 "
01PAFL2607-193," 962,353.92 "," 46,305.13 "
01PAFL2607-194," 1,324,903.81 "," 73,840.94 "
01PAFL2607-195," 1,127,770.67 "," 48,049.34 "
01PAFL2607-196," 680,542.30 "," 36,504.20 "
01PAFL2607-197," 415,699.28 "," 72,271.61 "
01PAFL2607-198," 476,710.49 "," 34,515.54 "
01PAFL2607-199," 1,657,929.37 "," 18,523.96 "
01PAFL2607-2," 1,865,062.74 "," 51,549.61 "
01PAFL2607-20," 1,764,344.90 "," 12,380.03 "
01PAFL2607-200," 1,798,440.92 "," 11,898.69 "
01PAFL2607-201," 902,575.64 "," 31,812.10 "
01PAFL2607-202," 845,110.13 "," 30,643.63 "
01PAFL2607-203," 1,005,970.36 "," 7,029.49 "
01PAFL2607-204," 1,053,771.26 "," 28,010.31 "
01PAFL2607-205," 1,429,156.88 "," 10,477.83 "
01PAFL2607-206," 1,012,113.69 "," 33,895.28 "
01PAFL2607-207," 900,735.26 "," 31,125.28 "
01PAFL2607-208," 353,743.03 "," 3,724.39 "
01PAFL2607-209," 238,422.25 "," 20,520.20 "
01PAFL2607-21," 186,148.24 "," 5,795.86 "
01PAFL2607-210," 987,082.59 "," 21,762.98 "
01PAFL2607-211," 1,008,145.78 "," 33,660.55 "
01PAFL2607-212," 1,306,870.14 "," 143,863.23 "
01PAFL2607-213," 939,565.10 "," 54,420.17 "
01PAFL2607-214," 497,797.48 "," 4,875.48 "
01PAFL2607-215," 970,147.05 "," 44,479.09 "
01PAFL2607-216," 1,608,418.91 "," 14,003.47 "
01PAFL2607-217," 913,801.98 "," 9,063.47 "
01PAFL2607-218," 390,038.99 "," 21,047.75 "
01PAFL2607-219," 1,006,907.78 "," 15,038.10 "
01PAFL2607-22," 186,148.24 "," 5,799.25 "
01PAFL2607-220," 1,673,919.79 "," 58,061.98 "
01PAFL2607-221," 980,218.60 "," 39,810.27 "
01PAFL2607-222," 693,684.11 "," 5,664.45 "
01PAFL2607-223," 408,051.74 "," 10,327.63 "
01PAFL2607-224," 52,797.52 "," 45,241.79 "
01PAFL2607-225," 868,993.51 "," 5,841.04 "
01PAFL2607-226," 46,427.75 "," 7,612.37 "
01PAFL2607-227," 1,037,319.49 "," 41,935.19 "
01PAFL2607-228," 81,971.98 "," 3,810.00 "
01PAFL2607-229," 4,226,591.33 "," 10,209.74 "
01PAFL2607-23," 740,825.86 "," 20,666.50 "
01PAFL2607-230," 1,011,129.43 "," 34,008.34 "
01PAFL2607-231," 172,411.82 "," 1,803.95 "
01PAFL2607-232," 767,283.63 "," 27,420.05 "
01PAFL2607-233," 339,271.76 "," 19,256.52 "
01PAFL2607-234," 934,000.62 "," 22,527.02 "
01PAFL2607-235," 369,786.25 "," 4,212.11 "
01PAFL2607-236," 118,546.34 "," 1,726.88 "
01PAFL2607-237," 993,718.97 "," 187,910.62 "
01PAFL2607-238," 1,150,817.49 "," 56,057.07 "
01PAFL2607-239," 2,397,112.77 "," 93,077.36 "
01PAFL2607-24," 432,479.88 "," 15,071.49 "
01PAFL2607-240," 407,503.27 "," 113,876.69 "
01PAFL2607-241," 2,453,440.89 "," 85,950.54 "
01PAFL2607-242," 265,884.46 "," 9,853.44 "
01PAFL2607-243," 327,711.38 "," 8,857.31 "
01PAFL2607-244," 387,056.15 "," 3,710.27 "
01PAFL2607-245," 1,667,774.44 "," 48,424.90 "
01PAFL2607-246," 1,314,890.86 "," 36,323.10 "
01PAFL2607-247," 918,263.78 "," 67,234.17 "
01PAFL2607-248," 248,182.36 "," 1,578.95 "
01PAFL2607-249," 248,211.52 "," 39,485.01 "
01PAFL2607-25," 1,437,593.28 "," 8,472.33 "
01PAFL2607-250," 1,011,716.99 "," 30,934.99 "
01PAFL2607-251," 819,366.82 "," 50,621.25 "
01PAFL2607-252," 343,028.95 "," 2,859.46 "
01PAFL2607-253," 1,885,263.43 "," 50,049.15 "
01PAFL2607-254," 806,922.93 "," 152,574.82 "
01PAFL2607-255," 398,517.79 "," 40,199.93 "
01PAFL2607-256," 390,705.10 "," 12,185.90 "
01PAFL2607-257," 1,009,145.50 "," 33,649.30 "
01PAFL2607-258," 1,065,594.92 "," 29,912.41 "
01PAFL2607-259," 953,607.09 "," 41,680.25 "
01PAFL2607-26," 1,770,228.04 "," 74,439.36 "
01PAFL2607-260," 1,412,504.58 ", 20.25 
01PAFL2607-261," 997,376.21 "," 38,604.35 "
01PAFL2607-262," 649,230.90 "," 67,520.27 "
01PAFL2607-263," 109,434.82 "," 38,960.99 "
01PAFL2607-264," 668,618.63 "," 19,123.80 "
01PAFL2607-265," 149,046.74 "," 18,165.78 "
01PAFL2607-266," 357,099.24 "," 32,549.46 "
01PAFL2607-267," 1,868,852.19 "," 38,521.90 "
01PAFL2607-268," 225,614.19 "," 1,182.07 "
01PAFL2607-269," 1,602,331.90 "," 117,447.16 "
01PAFL2607-27," 1,417,530.17 "," 9,619.41 "
01PAFL2607-270," 1,417,718.97 "," 50,427.27 "
01PAFL2607-271," 791,425.68 "," 43,935.57 "
01PAFL2607-272," 1,797,534.36 "," 58,375.67 "
01PAFL2607-273," 201,105.38 "," 5,001.53 "
01PAFL2607-274," 392,052.46 "," 7,272.42 "
01PAFL2607-275," 1,263,319.78 "," 17,155.42 "
01PAFL2607-276," 852,995.03 "," 19,927.72 "
01PAFL2607-277," 777,488.69 "," 24,322.43 "
01PAFL2607-278," 433,518.54 "," 36,920.51 "
01PAFL2607-279," 1,016,000.00 "," 6,664.04 "
01PAFL2607-28," 970,147.05 "," 5,613.11 "
01PAFL2607-280," 1,404,748.98 "," 14,690.99 "
01PAFL2607-281," 2,001,716.01 "," 12,975.33 "
01PAFL2607-282," 1,880,925.93 "," 64,432.69 "
01PAFL2607-283," 264,474.54 "," 21,360.31 "
01PAFL2607-284," 990,287.25 "," 39,800.04 "
01PAFL2607-285," 992,870.30 "," 7,706.99 "
01PAFL2607-286," 1,087,743.87 "," 31,097.84 "
01PAFL2607-287," 1,010,634.42 "," 51,119.25 "
01PAFL2607-288," 386,870.36 "," 6,671.95 "
01PAFL2607-289," 1,489,333.38 "," 10,874.67 "
01PAFL2607-29," 849,936.21 "," 39,812.90 "
01PAFL2607-290," 1,194,823.70 "," 82,544.41 "
01PAFL2607-291," 1,151,112.40 "," 124,464.28 "
01PAFL2607-292," 1,686,907.53 "," 36,281.65 "
01PAFL2607-293," 164,141.24 "," 109,750.52 "
01PAFL2607-294," 1,294,223.18 "," 62,965.78 "
01PAFL2607-295," 514,469.18 "," 42,191.54 "
01PAFL2607-296," 1,024,220.17 "," 25,408.06 "
01PAFL2607-297," 779,339.75 "," 24,730.24 "
01PAFL2607-298," 2,032,000.00 "," 32,205.76 "
01PAFL2607-299," 126,845.02 "," 23,413.09 "
01PAFL2607-3," 132,278.28 ", 824.28 
01PAFL2607-30," 1,647,274.79 "," 50,440.10 "
01PAFL2607-300," 405,712.14 "," 15,687.49 "
01PAFL2607-301," 439,290.88 "," 3,391.85 "
01PAFL2607-302," 1,176,756.81 "," 35,154.07 "
01PAFL2607-303," 938,403.23 "," 38,363.26 "
01PAFL2607-304," 346,426.82 "," 3,750.17 "
01PAFL2607-305," 1,064,247.10 "," 12,131.45 "
01PAFL2607-306," 432,941.60 "," 10,360.21 "
01PAFL2607-307," 74,489.27 "," 9,098.42 "
01PAFL2607-308," 528,257.79 "," 10,447.59 "
01PAFL2607-309," 1,008,145.78 "," 33,834.61 "
01PAFL2607-31," 1,983,368.93 "," 63,032.71 "
01PAFL2607-310," 1,625,289.33 "," 51,452.22 "
01PAFL2607-311," 917,656.07 "," 6,794.53 "
01PAFL2607-312," 527,778.83 "," 21,165.99 "
01PAFL2607-313," 1,575,531.00 "," 31,223.79 "
01PAFL2607-314," 1,896,215.00 "," 63,429.13 "
01PAFL2607-315," 1,008,381.46 "," 39,551.17 "
01PAFL2607-316," 381,259.78 "," 31,486.02 "
01PAFL2607-317," 921,725.16 "," 40,570.39 "
01PAFL2607-318," 874,518.60 "," 8,864.33 "
01PAFL2607-319," 2,416,049.87 "," 86,243.43 "
01PAFL2607-32," 768,318.27 "," 36,593.71 "
01PAFL2607-33," 796,337.79 "," 6,828.24 "
01PAFL2607-34," 1,012,113.69 "," 34,033.44 "
01PAFL2607-35," 622,221.72 "," 130,068.24 "
01PAFL2607-36," 944,159.45 "," 10,103.49 "
01PAFL2607-37," 559,220.39 "," 3,791.08 "
01PAFL2607-38," 411,773.87 "," 3,041.90 "
01PAFL2607-39," 788,821.99 "," 34,729.21 "
01PAFL2607-4," 1,850,269.82 "," 131,494.53 "
01PAFL2607-40," 556,333.48 "," 22,837.72 "
01PAFL2607-41," 414,862.07 "," 78,133.35 "
01PAFL2607-42," 431,435.97 "," 2,935.45 "
01PAFL2607-43," 82,872.18 "," 3,810.00 "
01PAFL2607-44," 1,275,967.22 "," 34,415.14 "
01PAFL2607-45," 258,050.79 "," 29,597.77 "
01PAFL2607-46," 974,827.88 "," 52,360.67 "
01PAFL2607-47," 664,112.80 ", 11.89 
01PAFL2607-48," 140,502.88 "," 5,215.44 "
01PAFL2607-49," 1,607,513.40 "," 55,303.05 "
01PAFL2607-5," 862,656.51 "," 29,835.53 "
01PAFL2607-50," 980,622.91 "," 33,067.39 "
01PAFL2607-51," 430,524.77 "," 22,923.52 "
01PAFL2607-52," 39,085.28 "," 71,589.99 "
01PAFL2607-53," 464,576.77 "," 3,724.80 "
01PAFL2607-54," 1,000,435.49 "," 40,141.02 "
01PAFL2607-55," 830,387.16 "," 17,439.32 "
01PAFL2607-56," 1,506,831.80 "," 10,002.63 "
01PAFL2607-57," 279,708.79 "," 13,397.16 "
01PAFL2607-58," 1,956,142.18 "," 14,201.26 "
01PAFL2607-59," 1,142,654.58 "," 16,111.06 "
01PAFL2607-6," 1,453,817.30 "," 47,658.80 "
01PAFL2607-60," 975,236.90 "," 35,267.72 "
01PAFL2607-61," 1,893,213.97 "," 65,279.00 "
01PAFL2607-62," 256,285.97 "," 30,929.71 "
01PAFL2607-63," 1,377,448.46 "," 41,959.22 "
01PAFL2607-64," 931,169.27 "," 25,684.72 "
01PAFL2607-65," 928,157.22 "," 36,560.44 "
01PAFL2607-66," 1,640,823.58 "," 50,172.42 "
01PAFL2607-67," 317,822.98 "," 41,740.92 "
01PAFL2607-68," 1,028,447.79 "," 24,727.39 "
01PAFL2607-69," 1,280,346.37 "," 101,959.25 "
01PAFL2607-7," 349,778.57 "," 41,364.82 "
01PAFL2607-70," 1,937,440.35 "," 64,778.08 "
01PAFL2607-71," 1,924,964.80 "," 65,019.29 "
01PAFL2607-72," 847,580.80 "," 26,689.50 "
01PAFL2607-73," 421,911.43 "," 2,605.48 "
01PAFL2607-74," 1,643,421.05 "," 55,945.44 "
01PAFL2607-75," 1,879,417.38 "," 62,700.90 "
01PAFL2607-76," 47,887.61 "," 39,445.86 "
01PAFL2607-77," 307,297.76 "," 12,835.19 "
01PAFL2607-78," 367,652.63 "," 8,338.76 "
01PAFL2607-79," 1,273,095.52 "," 12,334.95 "
01PAFL2607-8," 453,625.33 "," 8,455.34 "
01PAFL2607-80," 710,784.08 "," 70,477.09 "
01PAFL2607-81," 811,406.42 "," 27,598.11 "
01PAFL2607-82," 466,902.98 "," 24,194.39 "
01PAFL2607-83," 921,645.60 "," 32,061.73 "
01PAFL2607-84," 170,410.48 "," 1,430.72 "
01PAFL2607-85," 1,599,266.87 "," 10,801.44 "
01PAFL2607-86," 128,871.21 "," 6,591.44 "
01PAFL2607-87," 757,693.01 "," 116,612.25 "
01PAFL2607-88," 367,816.90 "," 10,097.42 "
01PAFL2607-89," 393,594.83 "," 8,626.42 "
01PAFL2607-9," 952,747.78 "," 7,781.03 "
01PAFL2607-90," 703,899.07 "," 74,836.37 "
01PAFL2607-91," 624,076.59 "," 27,228.31 "
01PAFL2607-92," 384,438.70 "," 11,196.83 "
01PAFL2607-93," 495,152.00 "," 71,697.28 "
01PAFL2607-94," 2,021,147.21 "," 59,080.11 "
01PAFL2607-95," 1,662,734.49 "," 45,495.32 "
01PAFL2607-96," 410,063.84 "," 5,553.96 "
01PAFL2607-97," 1,086,806.57 "," 10,886.39 "
01PAFL2607-98," 721,797.56 "," 35,368.95 "
01PAFL2607-99," 255,447.81 "," 2,296.71 "
01PARL2603-1," 917,435.22 "," 30,971.32 "
01PARL2603-2," 463,056.89 "," 19,428.86 "
01PARL2603-3," 863,750.84 "," 30,397.90 "
01PARL2603-4," 649,364.34 "," 37,664.88 "
01PARL2603-5," 909,785.45 "," 5,918.05 "
01PARL2603-6," 982,724.84 "," 49,086.57 "
01PARL2603-7," 1,681,896.73 "," 62,130.82 "
01PARL2603-8," 973,090.35 "," 6,434.12 "
01PARL2604-1," 856,144.08 "," 28,988.62 "
01PARL2604-2," 1,698,478.18 "," 309,197.99 "
01PARL2604-3," 924,956.98 "," 68,044.67 "
01PATL2601-1," 964,818.72 "," 39,406.31 "
01PATL2601-10," 1,008,125.74 "," 25,886.03 "
01PATL2601-11," 1,581,101.37 "," 35,724.23 "
01PATL2601-12," 1,678,263.92 "," 11,059.61 "
01PATL2601-13," 847,699.52 "," 28,928.35 "
01PATL2601-14," 901,150.67 "," 48,315.86 "
01PATL2601-2," 25,980.12 "," 13,843.53 "
01PATL2601-3," 866,136.14 "," 25,929.92 "
01PATL2601-4," 513,169.97 "," 14,561.19 "
01PATL2601-5," 1,024,229.15 "," 37,587.99 "
01PATL2601-6," 853,397.20 "," 29,439.27 "
01PATL2601-7," 1,342,748.57 "," 56,308.73 "
01PATL2601-8," 958,081.79 "," 38,619.57 "
01PATL2601-9," 1,281,184.21 "," 8,471.54 "
01PATL2602-1," 601,205.75 "," 47,763.59 "
01PATL2602-2," 1,043,923.36 "," 41,842.36 "
01PATL2602-3," 747,334.19 "," 25,676.75 "
01PATL2602-4," 937,436.91 "," 65,428.75 "
01PATL2602-5," 854,367.68 "," 38,212.57 "
01PATL2602-6," 387,269.06 "," 4,377.76 "
01PATL2602-7," 383,574.61 "," 15,546.79 "
01PATL2603-1," 1,734,803.74 "," 49,250.82 "
01PATL2603-10," 1,890,733.68 "," 96,115.08 "
01PATL2603-11," 190,257.90 "," 7,131.60 "
01PATL2603-12," 501,878.15 "," 5,197.24 "
01PATL2603-13," 221,199.81 "," 11,000.71 "
01PATL2603-14," 952,894.94 "," 52,224.74 "
01PATL2603-15," 429,722.60 "," 3,083.62 "
01PATL2603-16," 529,578.56 "," 33,350.70 "
01PATL2603-17," 186,045.00 "," 38,266.86 "
01PATL2603-2," 313,834.98 "," 31,815.48 "
01PATL2603-3," 697,176.14 "," 37,404.89 "
01PATL2603-4," 951,001.02 "," 45,084.64 "
01PATL2603-5," 939,168.70 "," 27,933.47 "
01PATL2603-6," 715,960.22 "," 20,942.75 "
01PATL2603-7," 116,424.80 "," 10,001.27 "
01PATL2603-8," 303,154.65 "," 17,368.63 "
01PATL2603-9," 1,078,801.33 "," 31,230.38 "
01PATL2604-17," 901,240.77 "," 36,635.02 "
01PATL2604-18," 746,808.28 "," 13,482.15 "
01PATL2604-19," 400,167.67 "," 111,497.42 "
01PATL2604-20," 1,338,546.16 "," 37,598.36 "
01PATL2604-21," 963,407.03 "," 25,964.23 "
01PATL2604-22," 951,777.82 "," 38,875.00 "
01PATL2604-23," 472,344.12 "," 26,720.45 "
01PATL2604-24," 383,757.83 "," 16,321.47 "
01PATL2604-25," 410,031.03 "," 74,501.29 "
01PATL2604-26," 1,362,242.72 "," 39,398.64 "
01PATL2604-27," 1,019,925.06 "," 53,481.69 "
01PATL2604-28," 1,451,857.12 "," 75,508.54 "
01PATL2604-29," 941,221.58 "," 125,601.00 "
01PATL2604-30," 639,292.62 "," 16,686.19 "
01PATL2604-31," 1,064,816.36 "," 31,500.96 "
01PATL2604-32," 1,694,171.98 "," 27,416.55 "
01PATL2605-1," 957,490.06 "," 8,351.32 "
01PATL2605-10," 1,009,145.50 "," 27,167.87 "
01PATL2605-11," 883,278.77 "," 49,239.74 "
01PATL2605-12," 797,966.28 "," 47,958.00 "
01PATL2605-13," 839,554.60 "," 15,248.78 "
01PATL2605-14," 421,434.37 "," 49,284.21 "
01PATL2605-2," 649,567.58 "," 23,048.10 "
01PATL2605-3," 846,049.71 "," 12,011.09 "
01PATL2605-4," 897,926.29 "," 34,632.01 "
01PATL2605-5," 914,995.74 "," 80,454.48 "
01PATL2605-6," 292,976.04 "," 44,510.59 "
01PATL2605-7," 1,417,632.61 "," 7,990.78 "
01PATL2605-8," 59,703.55 "," 14,173.17 "
01PATL2605-9," 970,147.05 "," 12,434.43 "
01PATL2606-1," 162,843.18 "," 13,884.79 "
01PATL2606-10," 996,630.06 "," 35,664.48 "
01PATL2606-11," 920,244.83 "," 37,356.13 "
01PATL2606-12," 218,689.29 "," 11,000.71 "
01PATL2606-13," 165,519.53 "," 171,938.99 "
01PATL2606-2," 683,110.77 "," 37,404.89 "
01PATL2606-3," 936,049.11 "," 27,933.47 "
01PATL2606-4," 722,837.57 "," 22,844.96 "
01PATL2606-5," 423,959.75 "," 29,901.07 "
01PATL2606-6," 411,546.12 "," 3,427.44 "
01PATL2606-7," 933,644.87 "," 6,285.63 "
01PATL2606-8," 332,560.44 "," 14,671.02 "
01PATL2606-9," 951,001.02 "," 27,046.76 "
01PATL2607-1," 854,736.23 "," 28,461.02 "
01PATL2607-10," 45,557.22 "," 10,173.86 "
01PATL2607-11," 408,254.34 "," 12,701.41 "
01PATL2607-12," 938,134.23 "," 27,962.04 "
01PATL2607-13," 361,399.59 "," 17,974.20 "
01PATL2607-14," 881,526.36 "," 43,211.02 "
01PATL2607-15," 970,543.52 "," 33,010.13 "
01PATL2607-16," 1,682,085.31 "," 61,520.29 "
01PATL2607-2," 737,788.78 "," 28,642.80 "
01PATL2607-3," 2,773,913.89 "," 101,077.74 "
01PATL2607-4," 601,750.48 "," 36,519.00 "
01PATL2607-5," 1,678,605.84 "," 61,997.50 "
01PATL2607-6," 977,402.46 "," 30,665.58 "
01PATL2607-7," 1,058,450.20 "," 41,804.90 "
01PATL2607-8," 1,649,497.06 "," 50,816.11 "
01PATL2607-9," 709,517.22 "," 21,997.00 "
01PBFL2601-1," 696,870.86 "," 4,410.87 "
01PBFL2601-10," 915,593.83 "," 7,431.45 "
01PBFL2601-11," 3,987,141.51 "," 26,593.73 "
01PBFL2601-12," 5,670,527.74 "," 45,668.36 "
01PBFL2601-13," 1,342,707.03 "," 14,188.49 "
01PBFL2601-14," 494,857.72 "," 3,388.21 "
01PBFL2601-15," 637,286.69 "," 4,265.94 "
01PBFL2601-16," 308,226.27 "," 8,083.92 "
01PBFL2601-17," 2,182,887.88 "," 14,631.07 "
01PBFL2601-18," 680,921.02 ", 67.84 
01PBFL2601-19," 2,807,392.29 "," 19,805.05 "
01PBFL2601-2," 1,619,720.31 "," 93,259.56 "
01PBFL2601-3," 1,091,520.25 "," 13,508.10 "
01PBFL2601-4," 1,216,205.47 "," 9,751.55 "
01PBFL2601-5," 2,831,742.84 "," 19,048.56 "
01PBFL2601-6," 950,825.10 "," 54,247.78 "
01PBFL2601-7," 131,815.63 "," 11,508.07 "
01PBFL2601-8," 3,569,319.76 "," 26,317.04 "
01PBFL2601-9," 2,570,796.20 "," 22,884.97 "
01PBFL2602-1," 908,580.57 "," 33,306.24 "
01PBFL2602-10," 391,813.91 "," 17,856.58 "
01PBFL2602-11," 304,380.53 "," 17,168.46 "
01PBFL2602-12," 1,531,424.25 "," 12,602.41 "
01PBFL2602-2," 1,789,539.90 "," 13,050.60 "
01PBFL2602-3," 560,801.90 "," 5,016.03 "
01PBFL2602-4," 1,162,370.37 "," 13,550.41 "
01PBFL2602-5," 450,977.22 "," 27,301.27 "
01PBFL2602-6," 1,236,212.55 "," 8,697.55 "
01PBFL2602-7," 1,095,194.12 "," 6,630.97 "
01PBFL2602-8," 752,921.25 "," 4,968.32 "
01PBFL2602-9," 1,545,688.67 "," 14,547.78 "
01PBFL2603-1," 365,573.86 "," 7,453.63 "
01PBFL2603-10," 563,557.23 "," 5,158.92 "
01PBFL2603-11," 964,491.45 "," 6,469.32 "
01PBFL2603-12," 1,240,837.59 "," 8,583.90 "
01PBFL2603-13," 920,050.46 "," 6,134.38 "
01PBFL2603-14," 611,426.01 "," 36,929.36 "
01PBFL2603-15," 1,208,465.04 "," 9,402.38 "
01PBFL2603-2," 1,259,188.63 "," 8,439.80 "
01PBFL2603-3," 211,940.01 "," 1,233.73 "
01PBFL2603-4," 1,587,417.46 "," 11,732.53 "
01PBFL2603-5," 959,414.37 "," 20,754.31 "
01PBFL2603-6," 1,093,700.04 "," 7,223.63 "
01PBFL2603-7," 2,553,618.62 "," 152,717.70 "
01PBFL2603-8," 3,629,897.60 ", 112.30 
01PBFL2603-9," 1,057,699.07 "," 39,379.21 "
01PBFL2604-1," 544,825.77 "," 16,076.66 "
01PBFL2604-10," 398,135.06 "," 23,857.68 "
01PBFL2604-11," 230,574.58 "," 1,932.54 "
01PBFL2604-12," 143,775.30 "," 22,705.33 "
01PBFL2604-13," 878,254.76 "," 25,734.60 "
01PBFL2604-14," 601,921.62 "," 54,561.79 "
01PBFL2604-15," 378,238.95 "," 3,134.71 "
01PBFL2604-16," 390,908.44 "," 54,781.65 "
01PBFL2604-17," 1,420,740.44 "," 19,303.54 "
01PBFL2604-18," 1,602,833.78 "," 79,743.77 "
01PBFL2604-19," 1,772,293.24 "," 10,650.85 "
01PBFL2604-2," 262,022.32 "," 72,815.08 "
01PBFL2604-20," 1,010,936.02 "," 39,102.61 "
01PBFL2604-21," 442,540.25 "," 16,067.33 "
01PBFL2604-22," 1,213,758.57 "," 73,870.86 "
01PBFL2604-23," 59,829.95 "," 26,366.70 "
01PBFL2604-24," 142,656.64 "," 15,529.85 "
01PBFL2604-25," 106,378.26 "," 1,081.80 "
01PBFL2604-26," 648,606.19 "," 21,165.08 "
01PBFL2604-27," 442,140.78 "," 5,399.45 "
01PBFL2604-28," 1,194,968.08 "," 13,832.53 "
01PBFL2604-29," 42,944.64 "," 27,258.64 "
01PBFL2604-3," 95,880.11 "," 30,793.53 "
01PBFL2604-30," 436,230.43 "," 23,488.86 "
01PBFL2604-31," 391,261.13 "," 20,757.19 "
01PBFL2604-4," 581,510.99 "," 13,122.61 "
01PBFL2604-5," 1,854,021.93 "," 45,037.07 "
01PBFL2604-6," 2,954,280.71 "," 23,908.12 "
01PBFL2604-7," 1,859,762.08 "," 23,128.49 "
01PBFL2604-8," 858,961.42 "," 26,883.22 "
01PBFL2604-9," 913,035.43 "," 43,998.88 "
01PBFL2605-1," 2,957,658.35 "," 23,975.31 "
01PBFL2605-10," 152,513.79 "," 38,683.56 "
01PBFL2605-11," 759,882.61 "," 28,410.38 "
01PBFL2605-12," 1,166,416.68 "," 10,462.56 "
01PBFL2605-13," 343,824.14 "," 67,996.72 "
01PBFL2605-14," 478,331.69 "," 66,485.07 "
01PBFL2605-15," 699,377.65 "," 54,545.15 "
01PBFL2605-16," 1,174,133.94 "," 57,545.37 "
01PBFL2605-2," 339,785.92 "," 25,694.55 "
01PBFL2605-3," 1,273,362.55 "," 13,587.39 "
01PBFL2605-4," 930,800.51 "," 16,344.45 "
01PBFL2605-5," 626,775.92 "," 15,771.56 "
01PBFL2605-6," 992,046.81 "," 64,033.66 "
01PBFL2605-7," 439,770.05 "," 12,415.01 "
01PBFL2605-8," 926,590.96 "," 48,076.68 "
01PBFL2605-9," 1,129,328.13 "," 61,392.55 "
01PBFL2606-1," 1,127,826.01 "," 15,096.85 "
01PBFL2606-10," 268,607.60 "," 36,835.92 "
01PBFL2606-11," 962,590.50 "," 19,891.10 "
01PBFL2606-12," 724,545.55 "," 8,413.07 "
01PBFL2606-13," 632,487.12 "," 12,831.01 "
01PBFL2606-14," 1,444,022.90 "," 37,525.04 "
01PBFL2606-15," 1,698,909.08 "," 45,538.54 "
01PBFL2606-16," 1,343,762.96 "," 13,984.05 "
01PBFL2606-17," 2,110,023.04 "," 92,203.43 "
01PBFL2606-18," 2,005,384.60 "," 95,696.52 "
01PBFL2606-19," 728,235.52 "," 21,592.57 "
01PBFL2606-2," 231,519.97 "," 37,133.13 "
01PBFL2606-20," 475,111.81 "," 111,137.55 "
01PBFL2606-21," 311,448.49 "," 11,791.48 "
01PBFL2606-22," 1,524,242.43 "," 31,900.02 "
01PBFL2606-23," 301,109.78 "," 10,884.15 "
01PBFL2606-3," 1,085,580.11 "," 25,542.14 "
01PBFL2606-4," 898,455.35 "," 21,993.29 "
01PBFL2606-5," 1,326,011.37 "," 46,613.95 "
01PBFL2606-6," 272,021.61 "," 27,010.20 "
01PBFL2606-7," 1,018,167.80 "," 36,069.99 "
01PBFL2606-8," 2,735,755.59 "," 50,144.03 "
01PBFL2606-9," 639,976.53 "," 22,444.11 "
01PBFL2607-1," 263,078.79 "," 9,273.58 "
01PBFL2607-10," 426,985.70 "," 16,150.82 "
01PBFL2607-11," 1,443,600.44 "," 39,525.56 "
01PBFL2607-12," 3,531,265.75 "," 134,647.64 "
01PBFL2607-13," 2,048,288.40 "," 73,558.52 "
01PBFL2607-14," 90,160.04 "," 16,649.39 "
01PBFL2607-15," 3,964,717.54 "," 136,597.35 "
01PBFL2607-16," 880,000.00 "," 48,078.03 "
01PBFL2607-17," 404,923.44 "," 66,714.67 "
01PBFL2607-18," 675,314.83 "," 14,688.26 "
01PBFL2607-19," 1,934,002.39 "," 69,795.21 "
01PBFL2607-2," 441,066.33 "," 15,119.79 "
01PBFL2607-20," 268,669.14 "," 7,392.93 "
01PBFL2607-21," 270,816.84 "," 7,495.40 "
01PBFL2607-22," 2,400,179.10 "," 29,178.32 "
01PBFL2607-23," 1,460,482.63 "," 50,141.59 "
01PBFL2607-24," 502,286.35 "," 47,368.61 "
01PBFL2607-3," 528,991.62 "," 17,601.51 "
01PBFL2607-4," 592,585.35 "," 27,016.76 "
01PBFL2607-5," 1,226,884.98 "," 44,582.10 "
